banner,banner_characters,is_rerun,avg_views,top_views_character,revenue,meta_relevance_avg,top_meta_character,dominant_character,dominant_reason
Venti,venti,0,4593318.0,venti,30632752.0,2.216666666666667,venti,venti,meta
Klee,klee,0,14247890.0,klee,22750080.0,2.5,klee,klee,meta
Tartaglia,tartaglia,0,161981.0,tartaglia,13443619.0,1.9,tartaglia,tartaglia,meta
Zhongli,zhongli,0,35127330.0,zhongli,16264892.0,3.5,zhongli,zhongli,meta
Albedo,albedo,0,8203682.0,albedo,11816107.0,2.5,albedo,albedo,meta
Ganyu,ganyu,0,8504740.0,ganyu,15669918.0,1.95,ganyu,ganyu,meta
Xiao,xiao,0,14156109.0,xiao,13145115.0,2.5,xiao,xiao,meta
Keqing,keqing,0,10862210.0,keqing,9505798.0,1.5,keqing,keqing,views
Hu Tao,hu tao,0,21330822.0,hu tao,12481634.0,2.5,hu tao,hu tao,meta
Venti (Rerun),venti,1,4593318.0,venti,16614209.0,2.216666666666667,venti,venti,meta
Tartaglia (Rerun),tartaglia,1,161981.0,tartaglia,6965445.0,1.9,tartaglia,tartaglia,meta
Zhongli (Rerun),zhongli,1,35127330.0,zhongli,10215165.0,3.5,zhongli,zhongli,meta
Eula,eula,0,25160120.0,eula,12619390.0,1.5,eula,eula,views
Klee (Rerun),klee,1,14247890.0,klee,7006180.0,2.5,klee,klee,meta
Kazuha,kazuha,0,18832425.0,kazuha,9807112.0,4.0,kazuha,kazuha,meta
Ayaka,ayaka,0,15822985.0,ayaka,16451006.0,2.5,ayaka,ayaka,meta
Yoimiya,yoimiya,0,12431567.0,yoimiya,8615144.0,2.0,yoimiya,yoimiya,meta
Raiden,raiden,0,20558966.0,raiden,33020905.0,3.425,raiden,raiden,meta
Kokomi,kokomi,0,9907253.0,kokomi,7020975.0,2.45,kokomi,kokomi,meta
Tartaglia (2nd Rerun),tartaglia,1,161981.0,tartaglia,7785438.0,1.9,tartaglia,tartaglia,meta
Hu Tao (Rerun),hu tao,1,21330822.0,hu tao,25226952.0,2.5,hu tao,hu tao,meta
Albedo & Eula (Rerun),"albedo, eula",1,16681901.0,eula,17026066.0,2.0,albedo,albedo,meta
Itto,itto,0,8152775.0,itto,13404072.0,2.0,itto,itto,meta
Shenhe & Xiao (Rerun),"shenhe, xiao",1,10483869.0,xiao,16994406.0,3.0,shenhe,shenhe,meta
Zhongli & Ganyu (2nd & 1st Rerun),"zhongli, ganyu",1,21816035.0,zhongli,26780298.0,2.725,zhongli,zhongli,meta
Yae Miko,yae miko,0,7167009.0,yae miko,15110264.0,3.0,yae miko,yae miko,meta
Shougun & Kokomi (Rerun),"raiden, kokomi",1,15233109.5,raiden,33560259.0,2.9375,raiden,raiden,meta
Ayato & Venti (2nd Rerun),"ayato, venti",1,5217395.0,ayato,22767455.0,2.1083333333333334,venti,venti,meta
Ayaka (Rerun),ayaka,1,15822985.0,ayaka,35939066.0,2.5,ayaka,ayaka,meta
Yelan & Xiao (2nd Rerun),"yelan, xiao",1,10522751.5,xiao,32177144.0,3.25,yelan,yelan,meta
Itto (Rerun),itto,1,8152775.0,itto,12586764.0,2.0,itto,itto,meta
Kazuha & Klee (1st & 2nd Rerun),"kazuha, klee",1,16540157.5,kazuha,24808479.0,3.25,kazuha,kazuha,meta
Yoimiya (Rerun),yoimiya,1,12431567.0,yoimiya,14333266.0,2.0,yoimiya,yoimiya,meta
Tighnari & Zhongli (3rd Rerun),"tighnari, zhongli",1,28483050.5,zhongli,19068372.0,2.4625,zhongli,zhongli,meta
Ganyu & Kokomi (2nd Rerun),"ganyu, kokomi",1,9205996.5,kokomi,15681840.0,2.2,kokomi,kokomi,meta
Cyno & Venti (3rd Rerun),"cyno, venti",1,4059755.0,venti,19052023.0,2.1083333333333334,venti,venti,meta
Nilou & Albedo (2nd Rerun),"nilou, albedo",1,5690115.5,albedo,15731680.0,3.15,nilou,nilou,meta
Nahida & Yoimiya (2nd Rerun),"nahida, yoimiya",1,10356821.5,yoimiya,34017290.0,2.825,nahida,nahida,meta
Tartaglia & Yae Miko (3rd & 1st Rerun),"tartaglia, yae miko",1,3664495.0,yae miko,18437409.0,2.45,yae miko,yae miko,meta
Wanderer & Itto (2nd Rerun),"wanderer, itto",1,7996920.5,itto,27126505.0,2.0,itto,itto,meta
Shougun & Ayato (2nd & 1st Rerun),"raiden, ayato",1,13200219.0,raiden,37919130.0,2.7125,raiden,raiden,meta
Alhaitham & Xiao (3rd Rerun),"alhaitham, xiao",1,13735117.0,xiao,18361860.0,2.75,alhaitham,alhaitham,meta
Hu Tao & Yelan (2nd & 1st Rerun),"hu tao, yelan",1,14110108.0,hu tao,46556153.0,3.25,yelan,yelan,meta
Dehya & Cyno (1st Rerun),"dehya, cyno",1,2804736.5,cyno,13198046.0,1.4083333333333334,cyno,cyno,meta
Ayaka & Shenhe (2nd & 1st Rerun),"ayaka, shenhe",1,11317307.0,ayaka,35962024.0,3.0,shenhe,shenhe,meta
Nahida & Nilou (1st Rerun),"nahida, nilou",1,5729312.5,nahida,28019235.0,3.7249999999999996,nilou,nilou,meta
Baizhu & Ganyu (3rd Rerun),"baizhu, ganyu",1,5943820.0,ganyu,9108580.0,2.725,baizhu,baizhu,meta
Yoimiya & Yae Miko (3rd & 2nd Rerun),"yoimiya, yae miko",1,9799288.0,yoimiya,9154188.0,2.5,yae miko,yae miko,meta
Alhaitham & Kazuha (1st & 2nd Rerun),"alhaitham, kazuha",1,16073275.0,kazuha,17459928.0,3.5,kazuha,kazuha,meta
Eula & Klee (2nd & 3rd Rerun),"eula, klee",1,19704005.0,eula,6458188.0,2.0,klee,klee,meta
Kokomi & Wanderer (3rd & 1st Rerun),"kokomi, wanderer",1,8874159.5,kokomi,9129631.0,2.225,kokomi,kokomi,meta
Lyney & Yelan (2nd Rerun),"lyney, yelan",1,4767666.5,yelan,11473539.0,3.25,yelan,yelan,meta
Zhongli & Tartaglia (4th Rerun),"zhongli, tartaglia",1,17644655.5,zhongli,9039617.0,2.7,zhongli,zhongli,meta
Neuvillette & Hu Tao (3rd Rerun),"neuvillette, hu tao",1,13969329.0,hu tao,13832472.0,3.25,neuvillette,neuvillette,meta
Wriothesley & Venti (4th Rerun),"wriothesley, venti",1,3911668.5,venti,11730045.0,2.6083333333333334,wriothesley,wriothesley,meta
Furina & Baizhu (1st Rerun),"furina, baizhu",1,8841867.5,furina,29234126.0,4.0625,furina,furina,meta
Cyno & Ayato (2nd Rerun),"cyno, ayato",1,4683832.0,ayato,8296003.0,2.0,ayato,ayato,meta
Navia & Ayaka (3rd Rerun),"navia, ayaka",1,9842792.0,ayaka,18269797.0,2.75,navia,navia,meta
Shougun & Yoimiya (3rd & 4th Rerun),"raiden, yoimiya",1,16495266.5,raiden,17085835.0,2.7125,raiden,raiden,meta
