banner,banner_characters,avg_views_best,top_views_character,top_views_avg,revenue,meta_relevance_mean,top_meta_character,top_meta_score,is_rerun,dominant_character,dominant_reason,n_characters
Venti,venti,4593318.0,venti,4593318.0,30632752.0,2.216666666666667,venti,2.216666666666667,0,venti,views,1.0
Klee,klee,14247890.0,klee,14247890.0,22750080.0,2.5,klee,2.5,0,klee,views,1.0
Tartaglia,tartaglia,161981.0,tartaglia,161981.0,13443619.0,1.9,tartaglia,1.9,0,tartaglia,views,1.0
Zhongli,zhongli,35127330.0,zhongli,35127330.0,16264892.0,3.5,zhongli,3.5,0,zhongli,views,1.0
Albedo,albedo,8203682.0,albedo,8203682.0,11816107.0,2.5,albedo,2.5,0,albedo,views,1.0
Ganyu,ganyu,8504740.0,ganyu,8504740.0,15669918.0,1.95,ganyu,1.95,0,ganyu,views,1.0
Xiao,xiao,14156109.0,xiao,14156109.0,13145115.0,2.5,xiao,2.5,0,xiao,views,1.0
Keqing,keqing,10862210.0,keqing,10862210.0,9505798.0,1.5,keqing,1.5,0,keqing,views,1.0
Hu Tao,hu tao,21330822.0,hu tao,21330822.0,12481634.0,2.5,hu tao,2.5,0,hu tao,views,1.0
Venti (Rerun),venti,4593318.0,venti,4593318.0,16614209.0,2.216666666666667,venti,2.216666666666667,1,venti,views,1.0
Tartaglia (Rerun),tartaglia,161981.0,tartaglia,161981.0,6965445.0,1.9,tartaglia,1.9,1,tartaglia,views,1.0
Zhongli (Rerun),zhongli,35127330.0,zhongli,35127330.0,10215165.0,3.5,zhongli,3.5,1,zhongli,views,1.0
Eula,eula,25160120.0,eula,25160120.0,12619390.0,1.5,eula,1.5,0,eula,views,1.0
Klee (Rerun),klee,14247890.0,klee,14247890.0,7006180.0,2.5,klee,2.5,1,klee,views,1.0
Kazuha,kazuha,18832425.0,kazuha,18832425.0,9807112.0,4.0,kazuha,4.0,0,kazuha,views,1.0
Ayaka,ayaka,15822985.0,ayaka,15822985.0,16451006.0,2.5,ayaka,2.5,0,ayaka,views,1.0
Yoimiya,yoimiya,12431567.0,yoimiya,12431567.0,8615144.0,2.0,yoimiya,2.0,0,yoimiya,views,1.0
Raiden,raiden,20558966.0,raiden,20558966.0,33020905.0,3.425,raiden,3.425,0,raiden,views,1.0
