banner,banner_characters,n_characters,is_rerun_banner,views_best_mean_banner,top_views_character,top_views_value,revenue,meta_relevance_mean_banner,top_meta_character,top_meta_value,dominant_character,dominant_reason,comments_demo__sum,comments_demo__mean,comments_demo__max,comments_teaser__sum,comments_teaser__mean,comments_teaser__max,engagement_score_demo__sum,engagement_score_demo__mean,engagement_score_demo__max,engagement_score_teaser__sum,engagement_score_teaser__mean,engagement_score_teaser__max,like_ratio_demo__sum,like_ratio_demo__mean,like_ratio_demo__max,like_ratio_teaser__sum,like_ratio_teaser__mean,like_ratio_teaser__max,likes_demo__sum,likes_demo__mean,likes_demo__max,likes_teaser__sum,likes_teaser__mean,likes_teaser__max,views_demo__sum,views_demo__mean,views_demo__max,views_teaser__sum,views_teaser__mean,views_teaser__max,views_best__sum,views_best__mean,views_best__max,likes_best__sum,likes_best__mean,likes_best__max,comments_best__sum,comments_best__mean,comments_best__max,like_ratio_best__sum,like_ratio_best__mean,like_ratio_best__max,engagement_score_best__sum,engagement_score_best__mean,engagement_score_best__max,relevance_main_dps__sum,relevance_main_dps__mean,relevance_main_dps__max,relevance_sub-dps__sum,relevance_sub-dps__mean,relevance_sub-dps__max,relevance_support__sum,relevance_support__mean,relevance_support__max,meta_relevance_max__sum,meta_relevance_max__mean,meta_relevance_max__max,meta_relevance_mean__sum,meta_relevance_mean__mean,meta_relevance_mean__max
Venti,venti,1.0,0,4593318.0,venti,4593318.0,30632752.0,2.216666666666667,venti,2.216666666666667,venti,meta,9100.0,9100.0,9100.0,8400.0,8400.0,8400.0,0.042206744666927,0.042206744666927,0.042206744666927,0.0563611987839497,0.0563611987839497,0.0563611987839497,0.0402256059780751,0.0402256059780751,0.0402256059780751,0.0537675511211042,0.0537675511211042,0.0537675511211042,184769.0,184769.0,184769.0,174136.0,174136.0,174136.0,4593318.0,4593318.0,4593318.0,3238682.0,3238682.0,3238682.0,4593318.0,4593318.0,4593318.0,184769.0,184769.0,184769.0,9100.0,9100.0,9100.0,0.0537675511211042,0.0537675511211042,0.0537675511211042,0.0563611987839497,0.0563611987839497,0.0563611987839497,2.85,2.85,2.85,2.85,2.85,2.85,0.95,0.95,0.95,2.85,2.85,2.85,2.216666666666667,2.216666666666667,2.216666666666667
Klee,klee,1.0,0,14247890.0,klee,14247890.0,22750080.0,2.5,klee,2.5,klee,meta,15000.0,15000.0,15000.0,5400.0,5400.0,5400.0,0.0253456476713394,0.0253456476713394,0.0253456476713394,0.0082075855328513,0.0082075855328513,0.0082075855328513,0.0242928602059673,0.0242928602059673,0.0242928602059673,0.0077700680169591,0.0077700680169591,0.0077700680169591,346122.0,346122.0,346122.0,95901.0,95901.0,95901.0,14247890.0,14247890.0,14247890.0,12342363.0,12342363.0,12342363.0,14247890.0,14247890.0,14247890.0,346122.0,346122.0,346122.0,15000.0,15000.0,15000.0,0.0242928602059673,0.0242928602059673,0.0242928602059673,0.0253456476713394,0.0253456476713394,0.0253456476713394,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Tartaglia,tartaglia,1.0,0,161981.0,tartaglia,161981.0,13443619.0,1.9,tartaglia,1.9,tartaglia,meta,0.0,,,546.0,546.0,546.0,0.0,,,0.0956470203295448,0.0956470203295448,0.0956470203295448,0.0,,,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0,,,14947.0,14947.0,14947.0,0.0,,,161981.0,161981.0,161981.0,161981.0,161981.0,161981.0,14947.0,14947.0,14947.0,546.0,546.0,546.0,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0956470203295448,0.0956470203295448,0.0956470203295448,1.9,1.9,1.9,0.0,,,0.0,,,1.9,1.9,1.9,1.9,1.9,1.9
Zhongli,zhongli,1.0,0,35127330.0,zhongli,35127330.0,16264892.0,3.5,zhongli,3.5,zhongli,meta,60000.0,60000.0,60000.0,4700.0,4700.0,4700.0,0.0188337115288864,0.0188337115288864,0.0188337115288864,0.0357103397256062,0.0357103397256062,0.0357103397256062,0.0171256397796245,0.0171256397796245,0.0171256397796245,0.03382884657264,0.03382884657264,0.03382884657264,601578.0,601578.0,601578.0,84505.0,84505.0,84505.0,35127330.0,35127330.0,35127330.0,2498016.0,2498016.0,2498016.0,35127330.0,35127330.0,35127330.0,601578.0,601578.0,601578.0,60000.0,60000.0,60000.0,0.03382884657264,0.03382884657264,0.03382884657264,0.0357103397256062,0.0357103397256062,0.0357103397256062,0.0,,,0.0,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Albedo,albedo,1.0,0,8203682.0,albedo,8203682.0,11816107.0,2.5,albedo,2.5,albedo,meta,13000.0,13000.0,13000.0,8400.0,8400.0,8400.0,0.0302631184387693,0.0302631184387693,0.0302631184387693,0.0400414577222239,0.0400414577222239,0.0400414577222239,0.0286784641335439,0.0286784641335439,0.0286784641335439,0.0381723890946965,0.0381723890946965,0.0381723890946965,235269.0,235269.0,235269.0,171555.0,171555.0,171555.0,8203682.0,8203682.0,8203682.0,4494217.0,4494217.0,4494217.0,8203682.0,8203682.0,8203682.0,235269.0,235269.0,235269.0,13000.0,13000.0,13000.0,0.0381723890946965,0.0381723890946965,0.0381723890946965,0.0400414577222239,0.0400414577222239,0.0400414577222239,0.0,,,2.5,2.5,2.5,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Ganyu,ganyu,1.0,0,8504740.0,ganyu,8504740.0,15669918.0,1.95,ganyu,1.95,ganyu,meta,14000.0,14000.0,14000.0,7600.0,7600.0,7600.0,0.0287962947720917,0.0287962947720917,0.0287962947720917,0.0303543143275595,0.0303543143275595,0.0303543143275595,0.0271501539141702,0.0271501539141702,0.0271501539141702,0.0286487005691812,0.0286487005691812,0.0286487005691812,230905.0,230905.0,230905.0,127655.0,127655.0,127655.0,8504740.0,8504740.0,8504740.0,4455874.0,4455874.0,4455874.0,8504740.0,8504740.0,8504740.0,230905.0,230905.0,230905.0,14000.0,14000.0,14000.0,0.0286487005691812,0.0286487005691812,0.0286487005691812,0.0303543143275595,0.0303543143275595,0.0303543143275595,2.0,2.0,2.0,1.9,1.9,1.9,0.0,,,2.0,2.0,2.0,1.95,1.95,1.95
Xiao,xiao,1.0,0,14156109.0,xiao,14156109.0,13145115.0,2.5,xiao,2.5,xiao,meta,21000.0,21000.0,21000.0,5800.0,5800.0,5800.0,0.0281482008933387,0.0281482008933387,0.0281482008933387,0.0171900190290355,0.0171900190290355,0.0171900190290355,0.0266647424090899,0.0266647424090899,0.0266647424090899,0.0164399279188308,0.0164399279188308,0.0164399279188308,377469.0,377469.0,377469.0,127120.0,127120.0,127120.0,14156109.0,14156109.0,14156109.0,7732394.0,7732394.0,7732394.0,14156109.0,14156109.0,14156109.0,377469.0,377469.0,377469.0,21000.0,21000.0,21000.0,0.0266647424090899,0.0266647424090899,0.0266647424090899,0.0281482008933387,0.0281482008933387,0.0281482008933387,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Keqing,keqing,1.0,0,10862210.0,keqing,10862210.0,9505798.0,1.5,keqing,1.5,keqing,meta,3700.0,3700.0,3700.0,5600.0,5600.0,5600.0,0.0141494107306769,0.0141494107306769,0.0141494107306769,0.0080756126055379,0.0080756126055379,0.0080756126055379,0.0136071360996472,0.0136071360996472,0.0136071360996472,0.0075600637439342,0.0075600637439342,0.0075600637439342,92843.0,92843.0,92843.0,82119.0,82119.0,82119.0,6823111.0,6823111.0,6823111.0,10862210.0,10862210.0,10862210.0,10862210.0,10862210.0,10862210.0,92843.0,92843.0,92843.0,5600.0,5600.0,5600.0,0.0136071360996472,0.0136071360996472,0.0136071360996472,0.0141494107306769,0.0141494107306769,0.0141494107306769,1.5,1.5,1.5,0.0,,,0.0,,,1.5,1.5,1.5,1.5,1.5,1.5
Hu Tao,hu tao,1.0,0,21330822.0,hu tao,21330822.0,12481634.0,2.5,hu tao,2.5,hu tao,meta,24000.0,24000.0,24000.0,23000.0,23000.0,23000.0,0.0225071963940255,0.0225071963940255,0.0225071963940255,0.0361249714488721,0.0361249714488721,0.0361249714488721,0.02138206394484,0.02138206394484,0.02138206394484,0.0340760605608172,0.0340760605608172,0.0340760605608172,456097.0,456097.0,456097.0,382520.0,382520.0,382520.0,21330822.0,21330822.0,21330822.0,11225476.0,11225476.0,11225476.0,21330822.0,21330822.0,21330822.0,456097.0,456097.0,456097.0,24000.0,24000.0,24000.0,0.0340760605608172,0.0340760605608172,0.0340760605608172,0.0361249714488721,0.0361249714488721,0.0361249714488721,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Venti (Rerun),venti,1.0,1,4593318.0,venti,4593318.0,16614209.0,2.216666666666667,venti,2.216666666666667,venti,meta,9100.0,9100.0,9100.0,8400.0,8400.0,8400.0,0.042206744666927,0.042206744666927,0.042206744666927,0.0563611987839497,0.0563611987839497,0.0563611987839497,0.0402256059780751,0.0402256059780751,0.0402256059780751,0.0537675511211042,0.0537675511211042,0.0537675511211042,184769.0,184769.0,184769.0,174136.0,174136.0,174136.0,4593318.0,4593318.0,4593318.0,3238682.0,3238682.0,3238682.0,4593318.0,4593318.0,4593318.0,184769.0,184769.0,184769.0,9100.0,9100.0,9100.0,0.0537675511211042,0.0537675511211042,0.0537675511211042,0.0563611987839497,0.0563611987839497,0.0563611987839497,2.85,2.85,2.85,2.85,2.85,2.85,0.95,0.95,0.95,2.85,2.85,2.85,2.216666666666667,2.216666666666667,2.216666666666667
Tartaglia (Rerun),tartaglia,1.0,1,161981.0,tartaglia,161981.0,6965445.0,1.9,tartaglia,1.9,tartaglia,meta,0.0,,,546.0,546.0,546.0,0.0,,,0.0956470203295448,0.0956470203295448,0.0956470203295448,0.0,,,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0,,,14947.0,14947.0,14947.0,0.0,,,161981.0,161981.0,161981.0,161981.0,161981.0,161981.0,14947.0,14947.0,14947.0,546.0,546.0,546.0,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0956470203295448,0.0956470203295448,0.0956470203295448,1.9,1.9,1.9,0.0,,,0.0,,,1.9,1.9,1.9,1.9,1.9,1.9
Zhongli (Rerun),zhongli,1.0,1,35127330.0,zhongli,35127330.0,10215165.0,3.5,zhongli,3.5,zhongli,meta,60000.0,60000.0,60000.0,4700.0,4700.0,4700.0,0.0188337115288864,0.0188337115288864,0.0188337115288864,0.0357103397256062,0.0357103397256062,0.0357103397256062,0.0171256397796245,0.0171256397796245,0.0171256397796245,0.03382884657264,0.03382884657264,0.03382884657264,601578.0,601578.0,601578.0,84505.0,84505.0,84505.0,35127330.0,35127330.0,35127330.0,2498016.0,2498016.0,2498016.0,35127330.0,35127330.0,35127330.0,601578.0,601578.0,601578.0,60000.0,60000.0,60000.0,0.03382884657264,0.03382884657264,0.03382884657264,0.0357103397256062,0.0357103397256062,0.0357103397256062,0.0,,,0.0,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Eula,eula,1.0,0,25160120.0,eula,25160120.0,12619390.0,1.5,eula,1.5,eula,meta,28000.0,28000.0,28000.0,14000.0,14000.0,14000.0,0.0157846226488585,0.0157846226488585,0.0157846226488585,0.0287038099312311,0.0287038099312311,0.0287038099312311,0.0146717503732096,0.0146717503732096,0.0146717503732096,0.0271755889845397,0.0271755889845397,0.0271755889845397,369143.0,369143.0,369143.0,248955.0,248955.0,248955.0,25160120.0,25160120.0,25160120.0,9160979.0,9160979.0,9160979.0,25160120.0,25160120.0,25160120.0,369143.0,369143.0,369143.0,28000.0,28000.0,28000.0,0.0271755889845397,0.0271755889845397,0.0271755889845397,0.0287038099312311,0.0287038099312311,0.0287038099312311,1.5,1.5,1.5,0.0,,,0.0,,,1.5,1.5,1.5,1.5,1.5,1.5
