character,comments_demo,comments_teaser,engagement_score_demo,engagement_score_teaser,like_ratio_demo,like_ratio_teaser,likes_demo,likes_teaser,views_demo,views_teaser,views_best,likes_best,comments_best,like_ratio_best,engagement_score_best,relevance_main_dps,relevance_sub-dps,relevance_support,meta_relevance_max,meta_relevance_mean
aino,,,,,,,,,,,,,,,,,2.85,2.85,2.85,2.85
albedo,13000.0,8400.0,0.0302631184387693,0.0400414577222239,0.0286784641335439,0.0381723890946965,235269.0,171555.0,8203682.0,4494217.0,8203682.0,235269.0,13000.0,0.0381723890946965,0.0400414577222239,,2.5,,2.5,2.5
alhaitham,11000.0,5500.0,0.025411508454367,0.0686398710558361,0.0245853182240665,0.0665618327844163,327332.0,176171.0,13314125.0,2646727.0,13314125.0,327332.0,11000.0,0.0665618327844163,0.0686398710558361,3.0,,,3.0,3.0
aloy,9900.0,4300.0,0.0231681319777932,0.0531227895946237,0.0219080051402992,0.0503426087923541,172117.0,77863.0,7856352.0,1546662.0,7856352.0,172117.0,9900.0,0.0503426087923541,0.0531227895946237,0.0,0.0,,0.0,0.0
amber,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
arlecchino,8000.0,6700.0,0.0337350452958924,0.0642090581557872,0.0327906184413981,0.0622317330575702,277761.0,210867.0,8470746.0,3388416.0,8470746.0,277761.0,8000.0,0.0622317330575702,0.0642090581557872,3.5,,,3.5,3.5
ayaka,16000.0,16000.0,0.0184858925164878,0.0572560390632558,0.0174747053100284,0.0539125841166247,276502.0,257997.0,15822985.0,4785469.0,15822985.0,276502.0,16000.0,0.0539125841166247,0.0572560390632558,2.5,,,2.5,2.5
ayato,9500.0,8900.0,0.0470140060587468,0.0819052233764265,0.0453877036472998,0.079530524749696,265131.0,298068.0,5841472.0,3747844.0,5841472.0,298068.0,9500.0,0.079530524749696,0.0819052233764265,2.0,,,2.0,2.0
baizhu,4700.0,3800.0,0.037043956368796,0.0820913903319805,0.0356546158621301,0.0800343418825349,120616.0,147848.0,3382900.0,1847307.0,3382900.0,147848.0,4700.0,0.0800343418825349,0.0820913903319805,,,3.5,3.5,3.5
barbara,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
beidou,,,,,,,,,,,,,,,,,1.5,,1.5,1.5
bennett,,,,,,,,,,,,,,,,,,4.5,4.5,4.5
candace,,,,,,,,,,,,,,,,,,0.5,0.5,0.5
charlotte,,,,,,,,,,,,,,,,,,2.5,2.5,2.5
chasca,,2900.0,,0.0831223953699006,,0.0792710621445817,,59690.0,,752986.0,752986.0,59690.0,2900.0,0.0792710621445817,0.0831223953699006,3.5,,,3.5,3.5
chevreuse,,,,,,,,,,,,,,,,,,4.0,4.0,4.0
chiori,2300.0,655.0,0.0240556235200979,0.0421487468895864,0.0233958973638203,0.0410834810610372,81565.0,25261.0,3486295.0,614870.0,3486295.0,81565.0,2300.0,0.0410834810610372,0.0421487468895864,,3.0,,3.0,3.0
chongyun,,,,,,,,,,,,,,,,,0.95,0.0,0.95,0.475
citlali,,708.0,,0.0645562703065509,,0.0624535956330892,,21029.0,,336714.0,336714.0,21029.0,708.0,0.0624535956330892,0.0645562703065509,,,4.5,4.5,4.5
clorinde,4000.0,3000.0,0.033121698725423,0.0256275959066169,0.0318060403847905,0.0247823678669092,96700.0,87961.0,3040303.0,3549338.0,3549338.0,96700.0,4000.0,0.0318060403847905,0.033121698725423,3.0,,,3.0,3.0
collei,,,,,,,,,,,,,,,,,1.9,0.95,1.9,1.4249999999999998
columbina,,3400.0,,0.1124012347427147,,0.1082148314418588,,87887.0,,812153.0,812153.0,87887.0,3400.0,0.1082148314418588,0.1124012347427147,,4.75,4.75,4.75,4.75
cyno,5900.0,7600.0,0.058416841737489,0.0815474662128624,0.0567436486725623,0.0789899378083125,200089.0,234728.0,3526192.0,2971619.0,3526192.0,234728.0,7600.0,0.0789899378083125,0.0815474662128624,2.0,,,2.0,2.0
dahlia,,,,,,,,,,,,,,,,,,1.5,1.5,1.5
dehya,6800.0,4600.0,0.0619767568561322,0.0828016396364284,0.0587126748623925,0.0801990421309615,122315.0,141749.0,2083281.0,1767465.0,2083281.0,141749.0,6800.0,0.0801990421309615,0.0828016396364284,0.0,0.95,1.5,1.5,0.8166666666666668
diluc,,5800.0,,0.0126012154859766,,0.011927558661862,,102693.0,,8609725.0,8609725.0,102693.0,5800.0,0.011927558661862,0.0126012154859766,1.5,,,1.5,1.5
diona,,,,,,,,,,,,,,,,,,2.0,2.0,2.0
dori,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
durin,,479.0,,0.0849582371219248,,0.0815445138116822,,11442.0,,140316.0,140316.0,11442.0,479.0,0.0815445138116822,0.0849582371219248,,4.5,,4.5,4.5
emilie,,,,,,,,,,,,,,,,,3.5,,3.5,3.5
escoffier,,,,,,,,,,,,,,,,,4.0,3.8,4.0,3.9
eula,28000.0,14000.0,0.0157846226488585,0.0287038099312311,0.0146717503732096,0.0271755889845397,369143.0,248955.0,25160120.0,9160979.0,25160120.0,369143.0,28000.0,0.0271755889845397,0.0287038099312311,1.5,,,1.5,1.5
faruzan,,,,,,,,,,,,,,,,,,2.5,2.5,2.5
fischl,,,,,,,,,,,,,,,,,4.0,,4.0,4.0
flins,,1300.0,,0.1000794569448351,,0.0983943993871575,,75910.0,,771487.0,771487.0,75910.0,1300.0,0.0983943993871575,0.1000794569448351,4.5,,,4.5,4.5
freminet,,,,,,,,,,,,,,,,0.0,,,0.0,0.0
furina,16000.0,6900.0,0.0393845534194332,0.0397884360572168,0.0382657376300055,0.0387764069917421,547232.0,264377.0,14300835.0,6817986.0,14300835.0,547232.0,16000.0,0.0387764069917421,0.0397884360572168,,4.5,4.75,4.75,4.625
gaming,,,,,,,,,,,,,,,,2.0,,,2.0,2.0
ganyu,14000.0,7600.0,0.0287962947720917,0.0303543143275595,0.0271501539141702,0.0286487005691812,230905.0,127655.0,8504740.0,4455874.0,8504740.0,230905.0,14000.0,0.0286487005691812,0.0303543143275595,2.0,1.9,,2.0,1.95
gorou,,,,,,,,,,,,,,,,,,1.5,1.5,1.5
heizou,,,,,,,,,,,,,,,,0.95,0.0,,0.95,0.475
hu tao,24000.0,23000.0,0.0225071963940255,0.0361249714488721,0.02138206394484,0.0340760605608172,456097.0,382520.0,21330822.0,11225476.0,21330822.0,456097.0,24000.0,0.0340760605608172,0.0361249714488721,2.5,,,2.5,2.5
iansan,,1200.0,,0.073964894623828,,0.0705338430351082,,24669.0,,349747.0,349747.0,24669.0,1200.0,0.0705338430351082,0.073964894623828,,,4.0,4.0,4.0
ifa,,,,,,,,,,,,,,,,1.9,0.95,,1.9,1.4249999999999998
ineffa,,2800.0,,0.0864366224773194,,0.0830716463506233,,69124.0,,832101.0,832101.0,69124.0,2800.0,0.0830716463506233,0.0864366224773194,,4.5,3.8,4.5,4.15
itto,12000.0,11000.0,0.0423010570020637,0.0664956919023087,0.0408291655295282,0.0642054795205044,332871.0,308382.0,8152775.0,4803048.0,8152775.0,332871.0,12000.0,0.0642054795205044,0.0664956919023087,2.0,,,2.0,2.0
jahoda,,,,,,,,,,,,,,,,,1.9,1.5,1.9,1.7
