version,phase,banner_name,start_date,end_date,featured_5,featured_4,source_url,crawled_at
6.2,2,unknown_banner_6.2_2,2023-07-05,2023-07-25,"['Eula', 'Klee']","['Razor', 'Thoma', 'Mika', 'Kokomi', 'Wanderer', 'Rosaria', 'Yanfei', 'Faruzan']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-07-25,2023-08-15,"['Kokomi', 'Wanderer']","['Razor', 'Thoma', 'Mika', 'Kokomi', 'Wanderer', 'Rosaria', 'Yanfei', 'Faruzan']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-08-16,2023-09-05,"['Lyney', 'Yelan']","['Barbara', 'Bennett', 'Lynette', 'Zhongli', 'Tartaglia', 'Noelle', 'Sayu', 'Freminet']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-08-17,2023-11-07,"['Zhongli', 'Tartaglia']","['Barbara', 'Bennett', 'Lynette', 'Zhongli', 'Tartaglia', 'Noelle', 'Sayu', 'Freminet']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-09-27,2023-10-17,"['Neuvillette', 'Hu Tao']","['Neuvillette', 'Hu Tao', 'Fischl', 'Xingqiu', 'Diona', 'Tempestuous Destiny', 'Ballad in Goblets', 'Wriothesley', 'Venti', 'Chongyun', 'Thoma', 'Dori']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-10-17,2023-11-07,"['Wriothesley', 'Venti']","['Neuvillette', 'Hu Tao', 'Fischl', 'Xingqiu', 'Diona', 'Tempestuous Destiny', 'Ballad in Goblets', 'Wriothesley', 'Venti', 'Chongyun', 'Thoma', 'Dori']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-10-17,2023-11-07,"['Kazuha', 'Alhaitham']","['Xiangling', 'Heizou', 'Yaoyao', 'Yoimiya', 'Yae Miko', 'Chongyun', 'Yun Jin', 'Kirara']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-11-09,2023-11-29,"['Furina', 'Baizhu']","['Furina', 'Baizhu', 'Beidou', 'Collei', 'Charlotte', 'Twilight Arbiter', 'Azure Excursion', 'Cyno', 'Ayato', 'Xiangling', 'Shinobu', 'Kirara']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-11-29,2023-12-19,"['Cyno', 'Ayato']","['Furina', 'Baizhu', 'Beidou', 'Collei', 'Charlotte', 'Twilight Arbiter', 'Azure Excursion', 'Cyno', 'Ayato', 'Xiangling', 'Shinobu', 'Kirara']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2023-12-20,2024-01-09,"['Navia', 'Ayaka']","['Navia', 'Ayaka', 'Sucrose', 'Rosaria', 'Candace', 'Reign of Serenity - Version 4.3', 'Tapestry of Golden Flames - Version 4.3', 'Raiden', 'Yoimiya', 'Bennett', 'Sara', 'Chevreuse']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2024-01-09,2024-01-30,"['Raiden Shogun', 'Yoimiya']","['Navia', 'Ayaka', 'Sucrose', 'Rosaria', 'Candace', 'Reign of Serenity - Version 4.3', 'Tapestry of Golden Flames - Version 4.3', 'Raiden', 'Yoimiya', 'Bennett', 'Sara', 'Chevreuse']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2024-01-31,2024-02-20,"['Xianyun', 'Nahida']","['Noelle', 'Faruzan', 'Gaming', '4.4 Phase 2 Xiao Banner', '4.4 Phase 2 Yae Miko Banner', 'Xiao', 'Yae Miko', 'Ningguang', 'Xinyan', 'Yaoyao']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2024-02-20,2024-03-12,"['Xiao', 'Yae Miko']","['Noelle', 'Faruzan', 'Gaming', '4.4 Phase 2 Xiao Banner', '4.4 Phase 2 Yae Miko Banner', 'Xiao', 'Yae Miko', 'Ningguang', 'Xinyan', 'Yaoyao']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
6.2,2,unknown_banner_6.2_2,2024-03-13,2024-04-02,"['Chiori', 'Itto']","['Gorou', 'Yun Jin', 'Dori', 'Jean', 'Diluc', 'Klee', 'Mona', 'Albedo', 'Eula', 'Lost Prayer to the Sacred Winds', 'Song of Broken Pines', 'Hunter', 'Beacon of the Reed Sea', '4.5 Phase 2 Neuvillette Banner', '4.5 Phase 2 Kazuha Banner', 'Neuvillette', 'Kazuha', 'Barbara', 'Xingqiu', 'Yanfei']",https://game8.co/games/Genshin-Impact/archives/297500,2026-01-13T23:24:35.232191+00:00
