game_id,month_key_raw,month_ym,ios_revenue_usd,android_revenue_usd,revenue_total,ios_downloads,android_downloads,total_downloads,trend,month_date
genshin-impact,11-2024,2024-11,906000000,811000000,1717000000.0,440000,1050000,1490000.0,,2024-11-01
genshin-impact,12-2024,2024-12,1109000000,1112000000,2221000000.0,540000,1150000,1690000.0,,2024-12-01
genshin-impact,01-2025,2025-01,2515000000,1929000000,4444000000.0,550000,1160000,1710000.0,,2025-01-01
genshin-impact,02-2025,2025-02,907000000,611000000,1518000000.0,440000,1040000,1480000.0,,2025-02-01
genshin-impact,03-2025,2025-03,1209000000,713000000,1922000000.0,450000,1150000,1600000.0,,2025-03-01
genshin-impact,04-2025,2025-04,606000000,508000000,1114000000.0,330000,940000,1270000.0,,2025-04-01
genshin-impact,05-2025,2025-05,1010000000,811000000,1821000000.0,340000,930000,1270000.0,,2025-05-01
genshin-impact,06-2025,2025-06,1513000000,1215000000,2728000000.0,350000,940000,1290000.0,,2025-06-01
genshin-impact,07-2025,2025-07,1009000000,612000000,1621000000.0,340000,930000,1270000.0,,2025-07-01
genshin-impact,08-2025,2025-08,708000000,611000000,1319000000.0,340000,910000,1250000.0,,2025-08-01
genshin-impact,09-2025,2025-09,1312000000,1013000000,2325000000.0,440000,1110000,1550000.0,,2025-09-01
genshin-impact,10-2025,2025-10,1614000000,1116000000,2730000000.0,350000,1010000,1360000.0,,2025-10-01
genshin-impact,11-2025,2025-11,707000000,510000000,1217000000.0,330000,900000,1230000.0,,2025-11-01
genshin-impact,12-2025,2025-12,1110000000,910000000,2020000000.0,340000,1020000,1360000.0,,2025-12-01
