character_name,element,start_date,end_date,revenue_total,days_observed,source,crawled_at
Hu Tao & Nahida,,2024-10-29,2024-11-19,1087433333.3333335,19,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Chasca & Lyney,,2024-11-20,2024-12-10,1310195698.924731,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Neuvillette & Zhongli,,2024-12-10,2024-12-31,1540370967.741935,22,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Citlali & Mavuika,,2025-01-01,2025-01-21,2938774193.5483866,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Arlecchino & Clorinde,,2025-01-21,2025-02-11,2101582949.308755,22,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Furina & Wriothesley,,2025-03-04,2025-03-25,1333000000.0,22,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Mizuki & Sigewinne,,2025-02-12,2025-03-04,1138642857.1428573,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Varesa & Xianyun,,2025-03-26,2025-04-15,910433333.3333336,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Venti & Xilonen,,2025-04-15,2025-05-06,928018279.5698925,22,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Kinich & Raiden Shogun,,2025-05-27,2025-06-17,1810205376.3440855,22,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Escoffier & Navia,,2025-05-07,2025-05-27,1204209677.419355,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Emilie & Mavuika,,2025-07-08,2025-07-29,1124241935.4838712,22,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Shenhe & Skirk,,2025-06-18,2025-07-08,1574310752.6881716,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Citlali & Ineffa,,2025-07-30,2025-08-19,891725806.4516132,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Chasca & Mualani,,2025-08-19,2025-09-10,2426478494.623656,52,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Lauma & Nahida,,2025-09-10,2025-09-30,800833333.3333334,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Flins & Yelan,,2025-09-30,2025-10-21,1478897849.4623652,22,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Arlecchino & Zhongli,,2025-11-11,2025-12-02,921372580.6451612,22,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Furina & Nefer,,2025-10-22,2025-11-11,1306595161.2903228,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
Durin & Venti,,2025-12-03,2025-12-23,1335806451.6129034,21,ennead_monthly_allocated_to_game8_banners,2026-01-14T00:14:23.007498+00:00
