character,video_type,query,video_id,title,published_at,views,likes,comments,like_ratio,engagement_score,crawled_at
albedo,teaser,"Character Teaser ""albedo""",EgnqSKptayI,"Character Teaser - ""Albedo: Still Life and Creation"" | Genshin Impact",2020-12-17,4494217.0,171555.0,8400.0,0.038172389094696585,0.040041457722223915,2026-01-14T19:09:48.760082+00:00
albedo,demo,"Character Demo ""albedo""",A3U51KyZLxE,"Character Demo - ""Albedo: Contemplation in Chalk"" | Genshin Impact",2020-12-22,8203682.0,235269.0,13000.0,0.028678464133543937,0.030263118438769325,2026-01-14T19:09:51.713273+00:00
alhaitham,teaser,"Character Teaser ""alhaitham""",JeOJi3tNIDs,"Character Teaser - ""Alhaitham: Questions and Silence"" | Genshin Impact",2023-01-12,2646727.0,176171.0,5500.0,0.06656183278441638,0.06863987105583613,2026-01-14T19:09:55.980686+00:00
alhaitham,demo,"Character Demo ""alhaitham""",6XbHqN8Cs60,"Character Demo - ""Alhaitham: Think Before You Act"" | Genshin Impact",2023-01-17,13314125.0,327332.0,11000.0,0.024585318224066545,0.02541150845436707,2026-01-14T19:09:58.613038+00:00
aloy,teaser,"Character Teaser ""aloy""",bx2aWuUjxnE,"Collected Miscellany - ""Aloy: Mystical Glow of Frost"" | Genshin Impact",2021-09-02,1546662.0,77863.0,4300.0,0.05034260879235412,0.05312278959462378,2026-01-14T19:10:03.254614+00:00
aloy,demo,"Character Demo ""aloy""",NQBk9S1fpcw,"Character Demo - ""Aloy: Otherworldly Hunter"" | Genshin Impact",2021-08-27,7856352.0,172117.0,9900.0,0.02190800514029921,0.023168131977793254,2026-01-14T19:10:08.408868+00:00
itto,teaser,"Character Teaser ""itto""",KGjnRThxe7k,"Character Teaser - ""Arataki Itto: That's How the Show Should Go!"" | Genshin Impact",2021-12-08,4803048.0,308382.0,11000.0,0.06420547952050448,0.0664956919023087,2026-01-14T19:10:11.849065+00:00
itto,demo,"Character Demo ""itto""",iXeJ94AFZDw,"Character Demo - ""Arataki Itto: Make Way for the One and Oni!"" | Genshin Impact",2021-12-12,8152775.0,332871.0,12000.0,0.04082916552952829,0.04230105700206371,2026-01-14T19:10:15.476170+00:00
arlecchino,teaser,"Character Teaser ""arlecchino""",lDVeNoQ0LxI,"Character Teaser - ""Arlecchino: Sleep in Peace"" | Genshin Impact #CharacterTeaser #Arlecchino",2024-04-18,3388416.0,210867.0,6700.0,0.062231733057570265,0.06420905815578724,2026-01-14T19:10:18.004151+00:00
arlecchino,demo,"Character Demo ""arlecchino""",TnYFVP3c_bs,"Character Demo - ""Arlecchino: Lullaby"" | Genshin Impact #CharacterDemo #Arlecchino #Lullaby",2024-04-23,8470746.0,277761.0,8000.0,0.032790618441398196,0.033735045295892475,2026-01-14T19:10:22.291974+00:00
ayaka,teaser,"Character Teaser ""ayaka""",vsCO7C416bs,"Character Teaser - ""Kamisato Ayaka: The Homeward Heron"" | Genshin Impact",2021-07-15,4785469.0,257997.0,16000.0,0.05391258411662472,0.05725603906325587,2026-01-14T19:10:24.971246+00:00
ayaka,demo,"Character Demo ""ayaka""",5RCsr1Y8UZA,"Character Demo - ""Kamisato Ayaka: Camellia in Winter Snow"" | Genshin Impact",2021-07-20,15822985.0,276502.0,16000.0,0.017474705310028416,0.01848589251648788,2026-01-14T19:10:28.815806+00:00
ayato,teaser,"Character Teaser ""ayato""",s3ok84NeMdU,"Character Teaser - ""Kamisato Ayato: Lanterns in the Night"" | Genshin Impact",2022-03-24,3747844.0,298068.0,8900.0,0.07953052474969609,0.08190522337642656,2026-01-14T19:10:31.813307+00:00
ayato,demo,"Character Demo ""ayato""",KxMs7IsSTgs,"Character Demo - ""Kamisato Ayato: Fathomless Swirls in the Forest"" | Genshin Impact",2022-03-29,5841472.0,265131.0,9500.0,0.04538770364729986,0.04701400605874684,2026-01-14T19:10:36.212001+00:00
baizhu,teaser,"Character Teaser ""baizhu""",8cZSZksffhk,"Character Teaser - ""Baizhu: An Elusive Curative"" | Genshin Impact",2023-04-26,1847307.0,147848.0,3800.0,0.08003434188253496,0.08209139033198055,2026-01-14T19:10:39.051319+00:00
baizhu,demo,"Character Demo ""baizhu""",HtiJkMsNtHg,"Character Demo - ""Baizhu: Curing the Root Cause"" | Genshin Impact",2023-05-01,3382900.0,120616.0,4700.0,0.035654615862130125,0.037043956368796004,2026-01-14T19:10:43.155090+00:00
